,titles,category,summary
0,달의 요정 세일러 문 SuperS,판타지,세일러 전사들에 의해 악당들이 사라지고 세계가 평화를 되찾았다고 생각했지만 또 다른 그림자가 세계에 드리우고 있었다  어느날 도시에 데드문 서커스라는 서커스단의 텐트가 들어온다  사실 그들은 서커스단이 아니라 검은 달의 여왕인 네헤레니아의 수하들  그들의 목적은 페가수스를 잡는 것인데    페가수스는 꿈의 거울을 가지고 있기 때문에 그들은 아름다운 꿈을 꾸는 사람들을 잡으려 한다  세일러 전사들은 이들과 싸워 지구를 지키려고 하지만 이들의 힘이 너무 강해 고전을 면치 못하는데   
1,마법소녀 특수전 아스카,판타지,수수께끼의 생물 명수왕 데스 비스트 의 침공으로 위기에 봉착한 인류는  불가사의한 마법의 힘을 얻은 마법소녀들의 활약으로 구원받았다   그리고  년 후  저마다의 생활을 되찾은 그녀들에게  일상을 찢어발기는 새로운 사건이 발발한다   인류의 구세주가 되어  전설의  명 매지컬 파이브  라 불리우는 마법소녀들은  운명에 농락당하면서도 필사적으로 현재 지금 을 살아간다  
2,극장판 나츠메 우인장   세상과 연을 맺다,판타지,다정하고  애처로운  거짓말을 했다  아름답고 덧없는 인간과 요괴의 이야기 할머니에게 물려받은  우인장  덕분에 인간과 요괴들 사이에서 바쁜 나날을 보내고 있는 나츠메  어느 날 옆 마을에 수상한 요괴가 숨어들었다는 소식을 들은 나츠메는 야옹 선생과 함께 마을을 살펴보고 돌아온다  하지만 그 틈을 타 따라온 수상한 요괴는 나츠메의 집 마당에서 하룻밤 사이에 나무가 되어 열매를 맺고  자신을 닮은 열매를 먹어버린 야옹 선생은 무려 세 마리로 늘어나버리는데   
3,피터 그릴과 현자의 시간 Super Extra,판타지,현란무투제에서 우승해 지상 최강의 칭호를 손에 넣은 피터 그릴  이제 약혼자인 루벨리아와 결혼할 수 있다고 생각했는데 수많은 이종족 여자들이 피터의 씨앗을 노리고 끊임없이 피터를 유혹하기 시작했다  무력은 최강인 피터였지만 의지는 최약인 수준이었다  몇 번이고 유혹에 굴복해 하반신을 허락하기 일쑤  그러던 중 무시무시한 고블린 웨이브가 발생했다는 소식이 들려온다  서둘러 진압에 나선 피터였지만  전장에서는 예상 밖의 만남이 기다리고 있었다  고블린의 콜로니  엘프 마을  드워프 마을       무대는 바뀌어도 유혹은 끝나지 않는다  지상 최강의 현자 타임이 다시 한번 막을 올린다 
4,문호와 알케미스트   심판의 톱니바퀴,판타지,문호들이 엮어온 수많은 책들  독창적인 세계관과 감정을 뒤흔드는 이야기가 담긴 그 책들은 문학으로서 사람들의 마음을 수놓았고 세계를 풍요롭게 해 왔다  하지만 그런 책들을 검게 물들이는 알 수 없는 자들이 나타난다  그들은 문학에 대한 부정적인 감정에서 비롯된  침식자 라 불리는 존재였다  책을 침식하여 이 세상에서 없애버리는 것이 목적인 침식자들에게 대항할 수 있는 건  연금술사 의 힘으로 환생을 이룬 문호들뿐이다  문호들은 침식된 책으로 들어가 침식자를 없앰으로써 책을 구한다  모두 이 세상의 문학을 지키기 위한 것  이것은 영혼을 담아 작품을 만들어온 자들이 엮는 새로운 문호 이야기다 
5,디사이드 트로이메라이,판타지,무대는 시부야  초등학생 때 다정하고 동경하던 존재였던 형의 의문의 죽음을 목격한 류헤이는 지금은 주위에서 그런 악몽 같은 일을 겪었다는 것을 눈치채지 못할 정보로 쾌활한 고등학생이 되었다  킥복싱에 몰두하는 나날을 보내던 중 신기한 생물 트리스에게 물린 날 밤 평소와 다른 꿈을 꾸게 된다  항간에 소문이 자자한 드롭이 어둠 속을 어지럽게 날아다니는 가운데 일그러진 욕망과 대치한다  그가 그 끝에서 보게 되는 것은   
6, 더빙  마법사 프리큐어 ,판타지,커다란 달을 보며 감탄하던 미래는 무언가가 날아다니다 떨어지는 것을 보게 된다  다음날  떨어진 게 무엇인지 확인하러 간 미래는 빗자루를 타고 둥둥 떠 있는 소녀와 만나게 되는데 
7,공의 경계  장 살인고찰  전 ,판타지,그것은  아직 둘이 고등학생이던 시절의 이야기  마을에서는 엽기 살인사건이 일어나고  밤거리는 그 정체불명의 살인마 탓에 밝은 분위기가 전부 사라져있는 상태였다      년  월 어느 눈 내리던 날  코쿠토 미키야는 기모노를 입은채 눈을 맞는 기묘한 소녀  료우기 시키를 만나게 된다  고등학교 입학식에서 다시 만난 그 둘은 친해지게 되고  그러면 코쿠토는 료우기 시키 안에 있는 또 다른 시키에 대해 알게 된다  긍정의 인격인 시키와 부정의 인격인 시키  자신은 살인자라고 말하는 시키  계속되어가는 연속 엽기 살인  살인 현장에 서 있는 료우기 시키  이 고찰의 결론은  년 후로 이어진다 
8,BEM,판타지,부유한 마을  어퍼 사이드 와 범죄로 가득한 마을  아웃 사이드 로 나뉘어 인간들 사이의 갈등을 보여주는 도시  리브라 시티   그곳에는 서로 다른 이유로 인간이 되고 싶어 하는  명의 요괴인간  벰    베라    베로 가 인간들에게 상처를 받고 배신을 당하면서도 그들을 보호하기 위하여 정체를 숨긴 채 악당들과 맞서 싸우고 있다  한편  어퍼 사이드 에서  아웃 사이드 로 좌천당한 여자 형사  소니아 는 우연히 그들의 정체를 알게 되면서  정의 가 무엇인지 혼란스러워하고   리브라 시티 의 흑막에 있는 수수께끼의 여인은  벰  일행을 잡아오라고 명령을 내리는데   
9,빌디바이드 CODE   BLACK,판타지,왕에 의해 통치되며 모든 우열이     빌 디바이드의 힘에 의해 결정되는 도시 신쿄토에는 소문이 있다  이르기를 빌 디바이드에서 왕에게 승리하면 무엇이든지 원하는 바를 이룰 수 있다  그리고 왕에 도전하기 위해서는 리빌드라 불리는     배틀에 참가해 열쇠를 완성해야 돼  누구든 이루고 싶은 소원이 있어 어떤 목적을 위해 왕을 쓰러뜨리겠다고 맹세하는 소년 쿠라베 테루토는 수수께끼의 소녀 사쿠라에게 이끌리는 대로  리빌드 배틀에 몸을 던져 간다 
10,숲의 요정 페어리루 part  ,판타지,꽃의 요정들과 함께 펼치는  달콤하고 아기자기한 이야기         
11, 자막  디지몬 어드벤처 라스트 에볼루션   인연,판타지,대학생 타이치와 다른 선택받은 아이들은 모두 각자의 자리에서 저마다의 삶을 살아가고 있다  그러던 어느 날  전 세계의  선택받은 아이들 에게 의문의 사건이 일어나기 시작한다  에오스몬이라 불리는 디지몬에 그 원인이 있음을 알게 된 타이치 일동은 에오스몬을 제압하려 하지만 이내 아구몬을 비롯한 디지몬들의 진화에 문제가 발생하는데  세상의 이변에서 다시 한 번 친구들을 구할 수 있을까 
12,어떤 과학의 일방통행   판권 부활,판타지,도쿄 서부에 위치한 거대한  학원도시   총인구가    만 명이 넘고 그중 약  할을 학생이 차지하는 이 도시에서는 초능력 개발을 위한 특수한 커리큘럼이 시행되어 학생들의 능력은 레벨  에서 레벨  까지의  단계로 평가되고 있었다  그런 학원도시에서 능력자들의 정점에 군림하는 최강의 능력자 액셀러레이터   명밖에 없는 레벨   중에서도 특별히 뛰어난 능력을 자랑하는 제 위는 그 힘 때문에 살벌한 일상을 보내고 있었다  반복되는 상식을 벗어난  실험 과 절대적인 힘을 원했던 끝에 경험한 패배  그 너머에서 그를 기다리고 있던 것은 어떤 소녀 라스트 오더와의 만남에 의해 운명이 크게 바뀌게 된다  최강이자 최흉인  악  액셀러레이터가 학원도시의  어둠 을 쓸어버린다  
13,은혼 더 파이널,판타지,무라이의 영혼을 건  최후의 난리법석이 시작된다  해결사 긴토키 일행이 뿔뿔이 흩어진 지  년 후  지구 멸망을 향한 카운트다운이 시작된다  부활한 우츠로를 막기 위해 긴토키  인방과 예전의 동료들  라이벌들까지 모두 합세하는데  모두의 운명을 건 최후의 결전 
14,극장판 은혼 완결편   해결사여 영원하라   판권 부활,판타지, 어떤 힘 에 의해 자신이 없는 미래의 세계에 날아가버린 긴토키는 붕괴해버린 에도의 거리를 두 눈으로 보게 된다  멸망한 지구에 남은 것은 가난한 사람들  이것을 기회로 정부와 싸우려는 양이지사  법의 허점을 이용하는 불량배들  그리고 꽁지 빠지게 도망치는 것이 성미에 맞지 않는 완고한 사람들뿐  그런 에도에서 헤매이던 긴토키는 두 명의 젊은이와 만난다  허리에 동야호목검을 차고 불량배를 쫓아내는 안경청년  그리고  거대한 개를 끌고 다니는 긴토키의 옷을 따라한 듯한 차이나 복장의 미녀  그리고 마침내 긴토키는 계속해서 변해버린 미래의 모습과  충격적인 사실과 마주하게 되는데   
15,반지의 기사 part  ,판타지,극히 평범한 대학생이었던 아마미야 유히는 어느 날 나타난 말하는 도마뱀에게 지구를 위기로부터 구하기 위해 협력할 것을 요청받았다  거부할 새도 없이 짐승 기사단의 일원이 된 유히는 반지의 힘으로 초능력인 장악영역을 사용할 수 있게 되었지만  너무 빠르게 적과 조우하고 말았다  절체절명의 순간에 유히를 구한 건 놀랍게도 이웃집에 사는 소녀 사미다레였다  구세주가 강림했다고 생각하려던 찰나  실은 사미다레는 지구 정복을 꿈꾸는 마왕이었고    그 말도 안 되는 강함과 마왕다운 매력에 끌린 유히는 그녀의 부하가 되었고  그녀가 그리는 별도의 계획에 가담하게 되었는데 
16,이 멋진 세계에 축복을  붉은 전설,판타지,이세계 생활은  고향 방문조차도 대모험     교통사고    로 허무하게 인생의 막을 내릴 예정이었던 게임을 사랑하는 은둔형 외톨이 사토 카즈마는  어쩌다 보니 여신 아쿠아를 길동무 삼아서 이세계로 전생하게 된다       게임 같은 이세계에서 동경하던 모험가 생활 엔조이  목표는 용사   하지만 신나는 기분은 잠깐이고  전생한 카즈마에게는 골치 아픈 일만 계속된다  트러블 메이커 잉여신 아쿠아  중 병을 잘못 앓은 마법사 메구밍  망상 논스톱 여기사 다크니스라는  능력치는 높은데 나사가 심하게 빠진 세 사람과 파티를 짜게 되고  빚 때문에 옴짝달싹 못하게 되고  국가 반역죄의 혐의로 재판에 회부되고  마왕군의 간부를 토벌하고  때로는 죽기도 한다    그러던 어느 날  다급하게 찾아온 홍마족 소녀 융융의 폭탄 발언으로 카즈마 일행은 얼어붙고 만다   저요  카즈마 씨의 아이를 원해요   사정을 들어보니  메구밍과 융융의 고향인  홍마의 마을 이 멸망의 위기에 처했다고 한다  마을을 구하기 위해 먼저 출발한 융융을 쫓아서 홍마의 마을로 향한 카즈마 일행이었지만    카즈마 파티를 덮친  최대의 위기  평범한 모험가 카즈마가 살아가는 이세계 라이프의 미래는 어디로  
17,요괴소년 호야  기,판타지,주인공인 오오츠키 우시오는 주지인 아버지와 절에서 단둘이 살고 있다  그러던 어느날  창고 지하실에서 흉악한 괴물을 보게 된다  그 정체는 바로 아주 먼 옛날 사람들을 괴롭힌 벌로 오백년동안 같혀 있게 된 요괴  토라 였다  우시오는 전설의 퇴마병기인  짐승의 창 과 토라와 함께 세상을 어지럽히는 다른 요괴들을 퇴치하기 위해 길을 나선다 
18,오니모노가타리,판타지,아라라기 코요미의 그림자 속에 사는 흡혈귀  오시노 시노부  그녀의 기억에서 되살아난  괴이를 초월하는 위협이란    
19,카부키모노가타리,판타지,사상 최강의  인조가  운명 이라는 이름의 전장에 뛰어든다  이것이야말로 현대의 괴이  괴이  괴이 
