,titles,category,summary
12, 자막  나의 히어로 아카데미아  기,판타지,꿈이 현실로  이것은 내가 최고의 히어로가 되기까지의 이야기다  어떤 사건을 계기로      히어로 올마이트와 만난  무개성  소년 미도리야 이즈쿠  그의 마음속에 숨겨진 히어로의 자질을 발견한 올마이트에게 개성  원 포 올 을 이어받는다  미도리야는 올마이트의 혹독한 훈련을 거쳐서 유에이 고교에 입학한다  바쿠고 카츠키  우라라카 오챠코 등의  학년  반 친구들과 서로를 향상시키며 성실한 나날을 보내고 있었다  그런 가운데 나라 전체가 주목하는 빅 이벤트  유에이 고교 체육대회  개최가 다가온다  오직 정상만을 바라보는 바쿠고  가족을 그리워하며 강한 의지로 도전하는 우라라카와 이이다 텐야  그리고 한 남자를 부정하기 위해서 우승을 노리는 토도로키 쇼토  게다가 히어로과  학년  반을 비롯한 새로운 친구들까지  유에이 고교 학생 전원이 투지를 불태우고 미도리야도 결의를 새로이 한다   나도 최선을 다해 쟁취하겠어   최고의 히어로를 향한 그들의 개성과 힘  그리고 자존심이 맞부딪히는 싸움이 시작된다 
13,가정교사 히트맨 리본 ,판타지,후회하라  필살탄이 당신을        부활 시킬 것이다   바보 같은 인생을 보내는 중학생 츠나의 집에 가정교사가 오게 되었다  가정교사의 이름은 리본  보기에는 어린아이지만  실제 본업은 초일류 히트맨    리본은 사실 본고라 조직의   대 보스를 키우기 위해 이탈리아에서 건너온 살인 청부업자였다  차기 보스로서 그의 타깃이 된 사람은 학교에서 제대로 하는 일이 없어 항상 왕따를 당하는 츠나라는 소년  죽을힘을 다하면 뭐든지 가능하다   츠나의 목숨을 건 수업이 시작됐다  
14,진격의 거인  기,판타지,   여년 전  갑자기 나타난 거인들에 의해 멸종 위기에 처한 인류는 살아남기 위해    의 거대한 벽을 쌓고 그 안에서 숨죽이며 살아가고 있었다  그러던 어느 날  초대형 거인의 등장으로 벽은 무너지고  거인들이 벽 안으로 들어와 사람들을 잡아먹기 시작하는데    절규와 죽음으로 가득한 절망적인 상황에서 거인에게 소중한 사람들을 빼앗긴 엘런은 복수를 맹세한다 
15, 자막  데스노트 리마스터,판타지,평범한 고교생인 야가미 라이토  그는 전국에서 알아주는 우수한 성적을 가지고 있지만 매일 똑같은 하루에 지루함을 느끼곤 한다  그러던 어느 날 하늘에서 검은 노트가 라이토 앞에 떨어진다  그 노트는 사신계에서 떨어진 죽음의 노트  그 노트에 이름이 적힌 자는 반드시 죽게 되는 노트인 데스노트였다  라이토는 데스노트를 이용해 세상의 신이 되겠다는 계획을 세우고  노트의 주인인 류크와 함께 데스노트를 이용해 세상의 범죄자들을 차례차례 죽여나가지만 이런 사건이 하나 둘씩 터지자 각 국가의 경찰들은 비상사태를 맞는다  그리하여 그들은 탐정  을 고용  이 사건의 진범을 찾기로 하는데  라이토와  의 숨막히는 추리 게임이 시작된다   
16,도쿄 리벤저스 part  ,판타지,밑바닥 인생을 살던 타케미치  중학교 시절 사귀었던 인생에서 유일한 연인이었던 히나타가 가장 흉포하고 악질적인 악당 연합  도쿄 만지회 에게 살해당했다는 것을 알게 된다  사건을 알게 된 다음 날  역 플랫폼에 있던 타케미치는 누군가에게 떠밀려 선로로 떨어지고 다가오는 열차를 보며 자신의 죽음을 직감한다  하지만 정신을 차리고 보니 어째서인지   년 전으로 타임 리프해 있었다  인생의 전성기였던   년 전 중학교 시절로 타임 리프해서 연인을 구하기 위해  계속 도망치기만 했던 자신을 바꾸기 위해 인생의 리벤지를 시작한다 
17, 자막  나의 히어로 아카데미아  기,판타지,꿈을 형태로 만들기 위해  히어로가 되기 위해  유에이 고교 히어로과     반        반 대항전  자존심을 건 싸움이 시작된다  한계를 넘어서  라이벌을 뛰어넘어라  
18,코바야시네 메이드래곤,판타지,평범한 회사원인 코바야시는 다쳐서 움직이기 어려운 드래곤을 우연히 발견한다  코바야시는 갈 곳도 없던 드래곤의 사정을 알게 되어 치료를 해주고 집에서 함께 살게 한다  그렇게 집에 들어온 드래곤은 메이드가 되어 집안일을 하는데     코바야시와 메이드 드래곤의 일상 이야기 
19,나루토  기,판타지,나뭇잎 마을의 우즈마키 나루토는 아무도 못말리는 말썽꾸러기인데다가  닌자 졸업 시험에 연속해서 낙방한 전력이 있는 문제아  다시 돌아온 시험에서 나루토는 마지막 관문인 분신술에 실패하여 또 낙제를 하게 된다  상심한 나루토에게 닌자 선생님 중 한 명인 미즈키 선생님이 다가와 마을 뒷산에 숨겨진  봉인의 서 봉인된 책  만 있으면 시험에 쉽게 통과할 수 있다고 알려준다  그러나 나루토가 이 책을 가지러 갔다는 말에  평소 나루토를 아껴주고 힘을 북돋워주던 이루카 선생님은 급히 나루토의 뒤를 쫒는다  미즈키는 사실 마을의 천덕꾸러기로 미움을 받고 있는 나루토를 이용하여 봉인의 서를 손에 넣으려는 음모를 꾸몄던 것이다  이 일을 계기로 나루토는 미즈키로부터 자신의 정체가 구미호의 봉인체라는 충격적인 이야기를 듣는다  사람들을 닥치는대로 해하던 흉한 구미호를 전설적인 닌자인 호카게가 당시 아기였던 자신의 몸에 봉인했다는 것이다  나루토는 마음의 충격이 컸지만 자신을 위로해주는 이루카 선생님의 말씀에 감동하여 마침내 자신의 능력을 제대로 선보이고  그 결과 졸업에 성공하게 된다  하급 닌자인 견습 닌자가 된 나루토는  꽤나 실력도 인물도 출중한 사스케와 당찬 여닌자 사쿠라를 동료로 하여 새로운 선생님인 카카시를 모시게 된다  하지만 행실이 그다지 선생님으로서 모범적이지 못한 카카시는 오히려 나루토 일행에게 실력이 너무 형편없다며 구박을 일삼는다  사실 말이 동료일뿐 팀 웍이 전혀 갖추어지지 않은 나루토 일행은 개인 플레이로 인해 여러번 일을 망치곤 한다  자신들의 주어진 일에 만족하지 못하고 있는 나루토 일행에게 호카게  최고의 닌자에게 대를 물려 이어지는 이름 는 새로운 임무를 주는데   
20,문호 스트레이 독스  기,판타지,고아원에서 쫒겨나서 아사직전 상태인 나카지마 아츠시는 강에서 떠내려가던 정체불명의 남자를 구하게 된다  남자의 이름은 다자이 오사무  입수 자살을 시도하던 그는 경찰도 해결하지 못하는 온갖 위험한 사건을 해결하는 이능력 집단인  무장탐정사 의 일원이라고 한다  다자이를 구한 계기로 밥을 얻어먹게 된 아츠시는 현재 다자이가 조사하는 사건이  식인호랑이 퇴치 라는 말을 듣게 된다  그런데 어째서인지 아츠시의 얼굴이 어두워지는데          유명 문호들을 모티브로 삼은 이능력 배틀물  문호 스트레이 독스 지금 시작한다 
21, 더빙  강철의 연금술사 BROTHERHOOD,판타지,죽은 어머니를 살리기 위해 에드워드와 알폰스 형제는 금지 되어 있는 연성술을 시행한다  그러나 연성 실패의 대가로 에드워드는 왼쪽 다리를  알폰스는 육신 자체를 잃고 말았다  동생을 살리기 위해 연성을 시도한 에드워드는 오른쪽 팔을 희생한 대가로 간신히 에드워드의 혼을 철로 된 갑옷에 담아 두는 데 성공한다  잃어 버린 사지 대신 철로 된 의수를 부착한 에드워드는 주야로 연금술을 공부하여 결국은 국가연금술사 자격증을 따내고   강철의 연금술사 라는 호칭을 얻게 된다  하지만 엘릭 형제가  현자의 돌 의 진실에 가까이 다가갈수록 그 너머에 드리워진 어두운 음모 또한 엄습해 오는데 
22,도쿄 리벤저스 part  ,판타지,밑바닥 인생을 살던 타케미치  중학교 시절 사귀었던 인생에서 유일한 연인이었던 히나타가 가장 흉포하고 악질적인 악당 연합  도쿄 만지회 에게 살해당했다는 것을 알게 된다  사건을 알게 된 다음 날  역 플랫폼에 있던 타케미치는 누군가에게 떠밀려 선로로 떨어지고 다가오는 열차를 보며 자신의 죽음을 직감한다  하지만 정신을 차리고 보니 어째서인지   년 전으로 타임 리프해 있었다  인생의 전성기였던   년 전 중학교 시절로 타임 리프해서 연인을 구하기 위해  계속 도망치기만 했던 자신을 바꾸기 위해 인생의 리벤지를 시작한다 
23,코바야시네 메이드래곤 S,판타지,엉망진창 드래곤 메이드가 다시 돌아온다  엉뚱한 계기로 코바야시의 집에서 메이드로서 일하게 된 드래곤 토르  제일 좋아하는 코바야시 씨에게 가끔 거짓말  엄청  폐를 끼치면서도 어떻게든 인간 사회에 적응해서 멋지게 거짓말  그럭저럭  메이드로서 일하고 있었다  같은 드래곤인 칸나  르코아  파프니르  엘마도 각자 보금자리를 발견해서 인간들과 이종 간의 커뮤니케이션을 만끽하고 있었다  그렇게 느긋하지만 때로는 격동적인 나날을 보내던 중  코바야시에게 새로운 드래곤의 위협이 다가오는데 
24,여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다   ,판타지,공작가의 영애 카타리나 클라에스는 머리를 돌에 부딪친 충격으로 전생의 기억을 되찾는다  이곳이 전생에서 푹 빠져있던 여성향 게임                의 세계이고 자신이 게임의 주인공을 방해하던 악역 영애 라니  게임에서 카타리나를 기다리는 결말은 해피면 국외 추방    배드면 사망    그런 파멸 플래그를 어떻게 해서든 회피하고 행복한 미래를 손에 넣겠어   착각  매력 넘치는 러브 코미디의 막이 오른다 
25,무직전생   이세계에 갔으면 최선을 다한다  기,판타지, 나는 이 세계에서 최선을 다하겠어     세 총각에 무직인 방구석 폐인이었던 남자  그는 부모님의 장례식 날에 집에서 쫓겨나 트럭에 치여 목숨을 잃었다  다시 눈을 떴을 때 그는 검과 마법이 존재하는 이세계에서 아기로 다시 환생해 있었다  쓰레기처럼 살아온 남자는 소년 루데우스로서 이세계에서 최선을 다해 살아가기로 맹세한다  루데우스를 기다리는 것은 로리 마술사  엘프 귀를 가진 소꿉친구  흉포한 새침데기 아가씨와 그 외 다양한 인간들과의 만남  그리고 가혹한 모험과 전투  그의 새로운 인생이 움직이기 시작한다   인생 재시작  판타지  개막    
26, 더빙  데스노트 리마스터,판타지,평범한 고교생인 야가미 라이토  그는 전국에서 알아주는 우수한 성적을 가지고 있지만 매일 똑같은 하루에 지루함을 느끼곤 한다  그러던 어느 날 하늘에서 검은 노트가 라이토 앞에 떨어진다  그 노트는 사신계에서 떨어진 죽음의 노트  그 노트에 이름이 적힌 자는 반드시 죽게 되는 노트인 데스노트였다  라이토는 데스노트를 이용해 세상의 신이 되겠다는 계획을 세우고  노트의 주인인 류크와 함께 데스노트를 이용해 세상의 범죄자들을 차례차례 죽여나가지만 이런 사건이 하나 둘씩 터지자 각 국가의 경찰들은 비상사태를 맞는다  그리하여 그들은 탐정  을 고용  이 사건의 진범을 찾기로 하는데  라이토와  의 숨막히는 추리 게임이 시작된다   
27,일곱 개의 대죄   계명의 부활   기 ,판타지,아직 사람과 마물의 세계가 분리되기 전 시대  헨드릭슨과 드레퓌스  두 명의 성기사장의 지배로부터 왕국을 탈환한  일곱 개의 대죄 와 엘리자베스  호크  왕국탄생제도 무사히 끝나  드디어 리오네스 왕국에 평화가 찾아왔으나 다음 위협의 징조가 그들에게 다가오고 있었다 
28,일곱 개의 대죄   기 ,판타지,일찍이 왕국에 반역을 꾀했다고 여겨지는  명의 전설의 역적  일곱개의 대죄   그들은 지금도 집요하게 왕국의 핵심  성기사들에게 쫓기고 있었다  한편 엘리자베스 공주는 성기사들의 반란을 눈치 채고 왕국을 구하기 위해  일곱 개의 대죄 를 찾아 나선다  공주의 진실된 마음에  일곱 개의 대죄 의 단장이자  분노의 죄 멜리오다스는 그녀와 함께 나머지  일곱 개의 대죄 를 찾는 여행에 나서기로 하는데      과연  일곱 개의 대죄 는 모두 모일 수 있을 것인가   그리고 일찍이 일어났던 반역의 진실은   전대미문의 통쾌한 영웅 판타지  개막  
29,슈퍼 시크릿,판타지,평범한 여대생 은호와 조금 특별한 소꿉친구 견우의 술래잡기  은호만 모르는 이웃집의 비밀들이 밝혀지는데   유명 웹툰 원작  슈퍼 시크릿  오직 라프텔에서만 만나보실 수 있습니다 
