,titles,category,summary
11, 자막  블랙 클로버  기,모험,어린 시절 부모에게 버림을 받고 빈민 지역 교회에서 자란 아스타와 라이벌 유노  두 사람은 마법 세계의 정점인 마법제가 되겠다는 목표를 가지고 있다  그러나 아스타는 전혀 마력을 가지고 있지 않아 마법 기술을 쓰지 못하는 반면  유노는 어린 나이에도 불구하고 엄청난 마법의 소유자로 촉망 받는다  시간이 흘러 두 사람은   세가 되고  마력을 가진   세 아이들에게 마법기사단에 들어갈 수 있는 기회가 찾아온다  유노는 강력한 마력으로 초대 마법제가 받았던 행운이 담긴 네잎 클로버 마도서에게 선택받는 반면  아스타는 우여곡절 끝에 악마가 깃든 다섯 잎 클로버 마도서를 손에 넣게 된다  반년 후 마법기사단 입단 시험에 응시하는 아스타와 유노  아홉 개의 단으로 나눠진 마법기사단 모두에게 선택 받은 유노는 최강의 마법기사단  금색의 여명 에 들어간 반면  아스타는 간신히  검은 폭우 단에 선택되어 그들의 꿈을 좇게 되는데 
12,소드 아트 온라인  기,모험,    사건으로부터  년이 지났다  어느 날  키리토는 총무성 가상과의 키쿠오카 세이지로에게 기묘한 의뢰를 받는다  총과 강철의       건 게일 온라인 통칭     에서 갑자기 발생한 데스 건 사건  정체불명의 아바타가 든 검은 총에 맞은 플레이어는 현실 세계에서도 죽음에 이른다는데    키리토는 차마 키쿠오카의 의뢰를 거절하지 못하고    에 로그인하게 된다  데스 건에 관한 단서를 얻기 위해 익숙하지 않은 게임 속을 방황하는 키리토  그런 그에게 도움의 손길을 내밀어 준 것은 거대한 라이플을 쓰는 스나이퍼  시논이었다 
13,흔해빠진 직업으로 세계최강  기,모험,왕따인 나구모 하지메는 같은 반 아이들과 함께 이세계로 소환된다  차례차례 사기적인 전투 능력을 발현하는 반 아이들과는 달리 연성사라는 평범한 능력을 손에 넣은 하지메  이세계에서도 최약인 그는 어떤 반 아이의 악의로 인해 미궁의 나락으로 떨어지고 마는데   탈출 방법을 찾을 수 없는 절망의 늪에서 연성사로서 최강에 도달하는 길을 발견한 하지메는 흡혈귀인 유에와 운명적인 만남을 갖는다   내가 유에를  유에가 나를 지킨다  그럼 최강이야  전부 쓰러뜨리고 세계를 뛰어넘자   나락으로 떨어진 소년과 가장 깊은 곳에 잠들어 있던 흡혈귀가 펼치는  최강  이세계 판타지 개막  그리고 소년은  최강 을 뛰어넘는다 
14,Re   제로부터 시작하는 이세계 생활  기 part  ,모험, 내가 반드시 너를 구해 보이겠어  마녀교 대죄사교  나태  담당 페텔기우스 로마네콩티를 물리치고 에밀리아와 재회한 나츠키 스바루  괴로운 결별을 극복하고 드디어 만난 두 사람이었지만 그것은 새로운 파란의 시작이었다  상상을 뛰어넘는 절체절명의 위기 그리고 덮쳐오는 무자비한 현실  소년은 다시 가혹한 운명에 맞선다 
15, 자막  블랙 클로버  기,모험,어린 시절 부모에게 버림을 받고 빈민 지역 교회에서 자란 아스타와 라이벌 유노  두 사람은 마법 세계의 정점인 마법제가 되겠다는 목표를 가지고 있다  그러나 아스타는 전혀 마력을 가지고 있지 않아 마법 기술을 쓰지 못하는 반면  유노는 어린 나이에도 불구하고 엄청난 마법의 소유자로 촉망 받는다  시간이 흘러 두 사람은   세가 되고  마력을 가진   세 아이들에게 마법기사단에 들어갈 수 있는 기회가 찾아온다  유노는 강력한 마력으로 초대 마법제가 받았던 행운이 담긴 네잎 클로버 마도서에게 선택받는 반면  아스타는 우여곡절 끝에 악마가 깃든 다섯 잎 클로버 마도서를 손에 넣게 된다  반년 후 마법기사단 입단 시험에 응시하는 아스타와 유노  아홉 개의 단으로 나눠진 마법기사단 모두에게 선택 받은 유노는 최강의 마법기사단  금색의 여명 에 들어간 반면  아스타는 간신히  검은 폭우 단에 선택되어 그들의 꿈을 좇게 되는데 
16, 더빙  원피스  기,모험,어렸을 적 악마의 열매를 먹고 몸이 맘대로 늘어나는 고무 인간이 돼버린 주인공 루피  그러나 해적왕이 꿈인 루피는 그 열매를 먹은 대가로 수영을 할 수가 없다  해적왕이 꿈인 소년이 수영을 할 수가 없다니 꿈을 접어야 할까  루피는 수영을 못한다면 물에 안 빠지면 된다며 자신의 꿈을 향해 전진한다  해적왕 골드로저가 남긴 보물 원피스를 차지하기 위해 수 많은 사람들이 바다로 뛰어드는 대해적 시대를 배경으로 세계지도를 그리려는 항해사  나미   최고의 검객를 꿈꾸는  조로   기적의 바다 오올 블루를 찾는 주방장  상디   코가 파랗다는 이유로 동료들에게 버려진 사슴인간  쵸파 이렇게 다섯 인물들의 파란만장한 모험 이야기가 펼쳐진다 
17, 자막  이 멋진 세계에 축복을   기,모험,게임을 사랑하는 은둔형 외톨이 소년  사토 카즈마의 인생은 너무나도 허무하게 그 막을 내린   줄 알았는데  정신을 차려보니 눈앞에 여신을 자처하는 미소녀가 있었다  이리하여  이세계로 넘어간 카즈마의 대모험이 시작  되나 싶었는데  결국 시작된 것은 의식주 확보를 위한 노동이었다  카즈마는 그저 평온하게 살고 싶지만  문제를 연달아 일으키는 여신 때문에 결국 마왕군에게 찍히고 마는데  
18,던전에서 만남을 추구하면 안 되는 걸까,모험,만남을 기대하며 던전에 뛰어든 인간 소년  벨    권속          을 찾아 거리를 헤매던 여신 헤스티아  둘의 운명적인 만남에서 새로운  신화               가 시작된다  사람들의 꿈과 욕망이 모인 이 도시에서  소년은 조그만 여신과 만난다   저는 강해질 거예요   벨은 던전에서 미녀와의 만남을 꿈꾸는 신출내기 모험자이지만 조그만 여신 헤스티아와 단둘이  파밀리아 를 세우고  던전 탐색의 나날이 시작되었다  여느 때처럼 던전에 내려갔던 그는 어느 날 미노타우로스와 조우한다  압도적으로 강한 몬스터에게 습격당해 절체절명의 위기   그런 그를 구한 것은 긴 금발과 금색 눈동자를 가진 아름다운 소녀   검희  아이즈 발렌슈타인이었다  언젠가는 그녀처럼       벨의 진정한 모험이 시작된다  
19,로그 호라이즌  기,모험, 만 명의 게이머가 게임 속 세계로 소환  더 이상 게임이 아닌 세계에서 히키코모리 기질의 안경 주인공의 모험이 시작된다  약  만 명의 게이머가 끌려 들어간 온라인 게임 속 세계인  엘더테일   그 세계의 한 지역인  아키바  거리는 표면적으로는 평온한 분위기를 회복했지만  다른 한편으로는 난폭한 공기를 여전히 간직하고 있었다  그 와중에 시로에는 도움을 받었던 초보 모험가 토우야와 미노리의 감금 사실을 알게 되고        아키바 의 정세에 혐오감을 씻을 수 없게 된 시로에가 드디어 움직인다  역전의 맹자   명을 결집시켜 무법 지대가 되어버린  아키바 에  희망 을 되찾기 위하여 
20,던전에서 만남을 추구하면 안 되는 걸까  ,모험,그 도시에는 수많은 신이 살고 있고  도시 중심에는 지하 깊은 곳  심연에 도달할 수 있는  던전 이 존재한다  그 도시의 이름은 미궁 도시 오라리오  여신 헤스티아와 모헙자 벨 크라넬은 언제나처럼 주신과 단 한 명의 조직원이라는 최소 구성  하지만 사상 최고의 속도로 랭크업을 한 벨은 유례가 없을 정도로 주목을 받고 있다   미궁  만남  그리고 모험  이것은 다시 쓰이기 시작한  소년이 엮고 여신이 적은  권속의 이야기  
