titles,category
전생했더니 슬라임이었던 건에 대하여  기,이세계
전생했더니 슬라임이었던 건에 대하여  기  부,이세계
방패 용사 성공담         ,이세계
소드 아트 온라인  기,이세계
전생했더니 슬라임이었던 건에 대하여  기  부,이세계
소드 아트 온라인 앨리시제이션,이세계
여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다   ,이세계
무직전생   이세계에 갔으면 최선을 다한다  기,이세계
오버로드  기,이세계
무직전생   이세계에 갔으면 최선을 다한다  기,이세계
소드 아트 온라인  기,이세계
오버로드  기,이세계
오버로드  기,이세계
흔해빠진 직업으로 세계최강  기,이세계
오버로드  기,이세계
세계 최고의 암살자  이세계 귀족으로 전생하다,이세계
현자의 손자,이세계
달이 이끄는 이세계 여행,이세계
     제로부터 시작하는 이세계 생활  기       ,이세계
 자막  이 멋진 세계에 축복을   기,이세계
 무삭제  해골기사님은 지금 이세계 모험 중,이세계
로그 호라이즌  기,이세계
노 게임 노 라이프   판권 부활,이세계
신들에게 주워진 남자,이세계
이세계 약국,이세계
슬라임을 잡으면서    년  모르는 사이에 레벨   가 되었습니다,이세계
     제로부터 시작하는 이세계 생활 감독판,이세계
흔해빠진 직업으로 세계최강  기,이세계
리아데일의 대지에서,이세계
여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다   ,이세계
알바 뛰는 마왕님 ,이세계
이세계 미궁에서 하렘을,이세계
전생했더니 슬라임이었던 건에 대하여   전생슬라임 일기,이세계
성녀의 마력은 만능입니다,이세계
     제로부터 시작하는 이세계 생활  기       ,이세계
나이츠 앤 매직,이세계
이세계 식당,이세계
사상 최강의 대마왕  마을 사람  로 전생하다,이세계
곰 곰 곰 베어,이세계
갓슈벨  ,이세계
