titles,category
 자막  데스노트 리마스터,추리
문호 스트레이 독스  기,추리
 더빙  데스노트 리마스터,추리
문호 스트레이 독스  기,추리
문호 스트레이 독스  기,추리
 더빙  명탐정 코난  기,추리
 자막  명탐정 코난   기,추리
나만이 없는 거리,추리
 더빙  명탐정 코난  기,추리
 자막  명탐정 코난     ,추리
 더빙  명탐정 코난  기,추리
 더빙  명탐정 코난  기,추리
 더빙  명탐정 코난   기,추리
 더빙  명탐정 코난   기,추리
 더빙  명탐정 코난   기,추리
 자막  명탐정 코난     ,추리
 더빙  탐정학원  ,추리
 더빙  소년탐정 김전일           기,추리
 더빙  명탐정 코난   기,추리
 더빙  소년탐정 김전일           기,추리
문호 스트레이독스 멍 ,추리
무능한 나나,추리
 자막  명탐정 코난   기,추리
             기,추리
 더빙  명탐정 코난   기,추리
단간론파   희망의 학교와 절망의 고교생,추리
 더빙  명탐정 코난   기,추리
 자막  명탐정 코난   기,추리
 더빙  소년탐정 김전일           기,추리
허구추리,추리
쓰르라미 울 적에 업       ,추리
 자막  명탐정 코난   기,추리
페르소나                ,추리
             기  신편집판 ,추리
 자막  명탐정 코난  기   판권 부활,추리
 더빙  소년탐정 김전일  ,추리
단간론파              키보가미네 학원   절망편,추리
 자막  괴도 키드     ,추리
             기,추리
사쿠라코 씨의 발밑에는 시체가 묻혀 있다,추리
 더빙  소년탐정 김전일   시즌 ,추리
우국의 모리아티       ,추리
단간론파             키보가미네 학원   미래편,추리
사라잔마이,추리
 더빙  괴도 키드     ,추리
공의 경계  장 부감풍경,추리
쓰르라미 울 적에 졸,추리
극장판 문호 스트레이 독스           ,추리
 더빙  쥬로링 동물탐정,추리
 자막  소년탐정 김전일           기,추리
