,titles,category,multi_category
0,은혼  기,성인,판타지 액션
1,진격의 거인  기,성인,판타지 액션
2,도쿄 리벤저스 part  ,성인,액션 드라마
3,도쿄 리벤저스 part  ,성인,액션 드라마
4,오버로드  기,성인,이세계 판타지
5,약속의 네버랜드  기,성인,판타지 모험
6,오버로드  기,성인,이세계 판타지
7,오버로드  기,성인,이세계 판타지
8,흔해빠진 직업으로 세계최강  기,성인,이세계 판타지
9,과호흡  리마스터링 ,성인,성인 BL
10,오버로드  기,성인,이세계 판타지
11,진격의 거인  기 part  ,성인,판타지 액션
12,진격의 거인 The FINAL part  ,성인,판타지 액션
13,진격의 거인  기,성인,판타지 액션
14,진격의 거인 The FINAL part  ,성인,판타지 액션
15,진격의 거인  기 part  ,성인,판타지 액션
16,은혼  기,성인,판타지 액션
17,체인소 맨,성인,액션 성인
18,노 게임 노 라이프   판권 부활,성인,이세계 판타지
19,안기고 싶은 남자  위에게 협박당하고 있습니다,성인,성인 BL
20,약속의 네버랜드  기,성인,판타지 모험
21,흔해빠진 직업으로 세계최강  기,성인,이세계 판타지
22,도쿄 구울,성인,판타지 액션
23,회복술사의 재시작,성인,판타지 액션
24,이세계 미궁에서 하렘을,성인,이세계 액션
25,고블린 슬레이어,성인,판타지 액션
26,은혼  기 DASH편,성인,판타지 액션
27,낙제기사의 영웅담,성인,판타지 액션
28,아카메가 벤다 ,성인,판타지 액션
29,이세계 마왕과 소환 소녀의 노예 마술,성인,판타지 이세계
30,진격  거인중학교,성인,판타지 액션
31,도쿄 구울  A,성인,판타지 액션
32,스트라이크 더 블러드,성인,판타지 액션
33,기생수 세이의 격률,성인,액션 SF
34,독점 마이 히어로,성인,개그 성인
35,시맨틱 에러 스페셜,성인,BL 성인
36, 무삭제  이종족 리뷰어스,성인,판타지 성인
37,기븐,성인,성인 음악
38,PSYCHO PASS  기,성인,액션 SF
39,금장의 벨메이유  벼랑 끝 마술사는 최강의 재액과 마법세계를 헤쳐나간다 ,성인,판타지 일상
40, 무삭제  도쿄 구울   re,성인,판타지 액션
41,단간론파   희망의 학교와 절망의 고교생,성인,성인 추리
42,종말의 하렘,성인,판타지 SF
43, 무삭제  도쿄 구울   re part  ,성인,판타지 액션
44,나만 들어가는 숨겨진 던전,성인,판타지 액션
45,나는    만명의 목숨 위에 서 있다  기,성인,이세계 판타지
46,음란한 아오는 공부를 할 수 없어,성인,개그 로맨스
47,새여동생 마왕의 계약자,성인,판타지 액션
48,최약무패의 신장기룡,성인,판타지 액션
49,도메스틱한 그녀,성인,로맨스 성인
50,무장소녀 마키아벨리즘,성인,판타지 액션
51,citrus,성인,성인 GL 백합
52,수염을 깎다  그리고 여고생을 줍다 ,성인,로맨스 성인
53,학교생활 ,성인,성인 스릴러
54,마요치키,성인,로맨스 성인
55,귀여우면 변태라도 좋아해 주실 수 있나요 ,성인,일상 성인
56,쓰르라미 울 적에 업 part  ,성인,공포 성인
57,감옥학원,성인,개그 성인
58,야한 이야기라는 개념이 존재하지 않는 지루한 세계,성인,개그 성인
59,이세계 마왕과 소환 소녀의 노예 마술  ,성인,판타지 이세계
60,바케모노가타리   판권 부활,성인,판타지 개그
61,몬스터 아가씨의 의사 선생님,성인,판타지 성인
62,PSYCHO PASS  기  신편집판 ,성인,액션 SF
63,아쿠다마 드라이브,성인,액션 SF
64,인피니트 덴드로그램,성인,판타지 액션
65,피터 그릴과 현자의 시간,성인,판타지 성인
66, 더빙  오소마츠  쌍둥이  기,성인,개그 성인
67,헌드레드,성인,판타지 액션
68,다윈즈 게임,성인,액션 성인
69,은혼  기 은빛 영혼편  부,성인,판타지 액션
70,내가 아가씨 학교에 서민샘플로 납치당한 사건,성인,개그 로맨스
71,내 여자친구가 너무 성실한 처녀 빗치인 건,성인,일상 로맨스
72,여동생만 있으면 돼 ,성인,일상 개그
73,단간론파   The End of 키보가미네 학원   절망편,성인,성인 추리
74,진격의 거인 OAD,성인,판타지 액션
75,아웃브레이크 컴퍼니   판권 부활,성인,판타지 개그
76, 자막  오소마츠  쌍둥이  기,성인,개그 성인
77,바보걸,성인,일상 개그
78,PSYCHO PASS  기,성인,액션 SF
79,나는    만명의 목숨 위에 서 있다  기,성인,이세계 판타지
80,부덕의 길드,성인,개그 로맨스
81,친구 게임,성인,성인 미스터리
82, 자막  지저귀는 새는 날지 않는다,성인,성인 BL
83, 자막  오소마츠  쌍둥이  기,성인,개그 성인
84,연애폭군,성인,판타지 개그
85,공전마도사 후보생의 교관,성인,판타지 액션
86,단간론파  The End of 키보가미네 학원   미래편,성인,성인 추리
87,요르문간드  기,성인,액션 범죄
88,스노하라장의 관리인 씨,성인,일상 개그
89,마장학원 HxH,성인,판타지 액션
