,titles,category,summary
10,섀도 하우스,모험,줄거리 이 저택에는 비밀이 숨겨져 있다   벼랑 끝에 서 있는 커다란 저택  섀도 하우스 에서 귀족을 흉내 내는  얼굴이 없는 일족  섀도   그들의  얼굴 로서 섀도를 섬기는 시중 담당  살아 있는 인형    어느 날  섀도 일족의 소녀 케이트에게 한 명의 살아 있는 인형이 찾아오게 되고  그렇게 그림자와 인형의 기묘한 일상이 시작되었다   기묘한 고딕 미스터리  드디어 애니화     접기
11,요란 THE PRINCESS OF SNOW AND BLOOD,모험,줄거리 시대는 메이지   년  무대는 도쿠가와 요시노부가 절대적인 권력을 차지하고 있는 또 하나의 일본   국가는 자신들이 독점하고 있는 에너지원  용맥 을 활용해서 에도시대와 근미래 과학기술이 뒤섞인 독특한 양상의 발전을 이루어냈다   하지만 그 화려한 도시의 뒤편에서는 혁명의 불길을 피워올리고 정권 타도를 꾀하는 반체제파 조직  쿠치나와 가 움직이려 하고 있었다   그들의 처리를 지시받은 도쿠가와 정부의 비밀 조직  누에   어린 시절 가족이 살해당했던 유키무라 사와는 누에의 처형인이 되어 그녀의 원수인 쟈노메를 찾고 있었는데     접기
12,원더 에그 프라이어리티,모험,줄거리   살의 소녀 오오토 아이는 늦은 밤 산책을 하던 도중 마주한  정체불명의 목소리에 이끌려  에그 를 손에 넣는다     미래를 바꾸고 싶으면   지금은 그저 선택해라   자아  스스로를 믿고   에그를 깨라   에그를 깬 후 아이를 기다리고 있던 것은      접기
13,아쿠다마 드라이브,모험,줄거리 아쿠다마 범죄자 들의 크라임 액션 개막   먼 옛날 칸토과 칸사이 간에 전쟁이 일어나 세계는 분열되었다  칸사이는 칸토의 속국이 되었고 독자적인 발전을 이룩했다  하지만  정치와 경찰력은 쇠퇴하여 범죄가 횡행  그 범죄자를  아쿠다마 라고 부른다   이 작품의 무대가 되는 것은 고도로 발달했지만 왜곡된 사회  그 속에서 아쿠다마들은 어떻게 나 자신으로 존재하려 하는가  한자리에 모인 아쿠다마들의 미학이 충돌한다     접기
14,이케부쿠로 웨스트 게이트 파크,모험,줄거리 도쿄 이케부쿠로의 서쪽 출구 공원  통칭  이케부쿠로 웨스트 게이트 파크 근처에 있는  과일가게의 아들 마코토는 야쿠자와 관련된 범죄나 불량배들의 영역 다툼 등 경찰은 해결할 수 없는 어려운 사건을 차례로 해결하는  이케부쿠로의 트러블 슈터 라고 불리고 있었다   다양한 사람들이 모이는 이케부쿠로에서 조직에 속하지 않고 친화력이 좋은 마코토에게는 항상 위험하고 자극적인 의뢰가 들어온다    누구에게나 친절한 거리  사랑과 평화의 이케부쿠로  그야말로 이케부쿠로는 최고다   오늘도 이케부쿠로의 질서를 지키던 그에게 거리의 평화를 뒤흔드는 성가신 사건에 대한 의뢰가 들어오는데     접기
15,쓰르라미 울 적에 업,모험,줄거리 도심에서 멀리 떨어져 울창한 자연에 둘러싸인 마을 히나미자와  한때  댐 밑으로 가라앉을 예정이었던 마을은 지금도 여전히 예전과 다름없는 모습으로 전학생 마에바라 케이이치를 맞이한다   도시에서 살다 온 케이이치에게 히나미자와의 친구들과 보내는 활기차고 평화로운 일상은  언제까지고 계속될 행복한 시간일 터였다    년에 한 번 시행되는 마을의 축제  와타나가시  그날이 오기 전까지는         년  월 쓰르라미가 울 적에  일상은 갑자기 끝을 알리고  멈추지 않는 참극의 연쇄가 시작된다     접기
16,ACCA   구 감찰과 Regards,모험,줄거리 쿠데타 사건으로부터  년이 지난 버든  신체제로 이행한     에서는  주년을 기념하는 행사를 앞두고 있어 진을 비롯한 감찰과 사람들도 그 준비에 여념이 없었다   불온한 소문  변하지 않는 일상  새로운 기로  추억 속의 눈길  시작의 날  각자의 생각이 교차하는 가운데 멈춰있던 시간이 다시 천천히 움직이기 시작한다    친애하는 진  그 시절 우리들은 무슨 생각을 했을까  이번에 만나면 말해줄래      접기
17,로드 엘멜로이  세의 사건부    레일 체펠린  그레이스 노트,모험,줄거리            에서 정복왕 이스칸다르와 함께 제 차 성배전쟁에 뛰어든 소년  웨이버 벨벳  시간은 흘러 웨이버는 로드 엘멜로이의 이름을 이어받아 로드 엘멜로이  세가 되었다  그리고 마술 협회의 본부인  시계탑 에서 신기한 사건들과 맞닥뜨리는데     접기
18,슈타인즈 게이트 제로,모험,줄거리 무대는 베타 세계선  슈타인즈 게이트 세계선에 진입하는 것을 포기하고 리얼충이 된 오카베 린타로의 앞에 나타난 것은 마키세 크리스의 기억을 데이터화한 인공지능  아마데우스였다    
19,ACCA   구 감찰과,모험,줄거리   개의 독자적인 문화를 꽃피운 자치구가 있는 왕국에서 치안  소방  의료 등의 기구를 산하에 거느린 거대 민간 조직       그곳 감찰과에 소속된 진 오터스는  부정부패를 적발하며 폐지 위기에 있던 감찰과를 구해낸다  그러나 그는 반대 세력에 의해 조직의 스파이로 의심받게 되는데       접기
20,TRICKSTER  트릭스터 ,모험,줄거리 때는 근미래인     년대 수수께끼의 탐정 아케치 코고로의 중심으로 모인  소년탐정단  그들은 크고 작은 사건을 타고난 능력으로 해결하고 있었다  그러던 어느 날  탐정단 멤버인 하나사키 켄스케는 의문의 소년 코바야시 요시오와 만나게 되고  수수께끼의 안개 에 의한  죽지 않는  몸이 되버린 코바야시는 자살을 바라고 타인과의 접촉을 거부하고 있었다  그런 그의 존재에 관심을 가지게 된 하나사키는  소년탐정단 에 들어오지 않겠냐고 말을 한다  코바야시와 하나사키  그 둘의 만남은 이윽고 세기 범죄자인 괴인   면상과 아케치 코고로의 인연으로 얽혀 두 사람의 운명을 움직이게 하는데        접기
21,나만이 없는 거리,모험,줄거리 무엇 하나 제대로 안 풀리는 현실 속에서 하루하루 조바심만 더해가던 청년 후지누마 사토루  자신에게만 일어나는  시간이 되돌아간다 는 불가사의한 현상조차  청년의 불만은 더욱 크게 만들 뿐이었다  하지만 그것은 어느 날을 기점으로 달라졌다  커다란 사건이 청년의 주변을 다짜고짜 변화시켜 나가는데     접기
22,사쿠라코 씨의 발밑에는 시체가 묻혀 있다,모험,줄거리 뼈를 사랑하는 사쿠라코  그리고 그녀에게 휘둘리는 평범한 고등학생 쇼타로의 사건이 시작된다     
23,STEINS GATE  슈타인즈 게이트 ,모험,줄거리 무대는     년 여름의 아키하바라 중증 중 병에서 아직도 헤어나오지 못한 대학생 오카베 린타로는   미래가젯트 연구소 를 설립하여  용도불명의 희괴한 발명품들을 만들어 내고 있었다  그러나 어느날  우연히 그들은 과거로 문자 메세지를 보낼수 있는  타임머신 을 만들어내고 만다 세기의 발명에 흥분을 억누르지 못하고  흥미 본위로 과거에 대한 간섭을 되풀이 하는 오카베 일행  그 결과  세계를 휘말리게 만드는 커다란 비극이 오카베 일행 앞에 찾아 오게 되었다   그리고 그 비극을 벗어나기 위한  오카베의 고독한 싸움이 시작된다 과연 그는 운명을 뒤바꾸고  그것을 뛰어 넘어 극복 해낼수 있을 것인가       접기
